ID,news,headline,method,answer
TRAIN_320,"(May 12, 2008 12:16 PM CDT) Tony Blair's public revelation in 2002 that his wife had suffered a miscarriage halted rumors that his delayed vacation meant the Iraq invasion was imminentâ€”but also appalled Cherie Blair, reports the Times of London. The former PMâ€™s wife unveils some major revelations in her new autobiography, including that the Blairs conceived a child while visiting the queen: The ex-first lady didnâ€™t pack contraceptives because she was embarrassed to take them through royal security. I couldnâ€™t believe it. There I was, bleeding, and they were talking about what was going to be the line to the press. I put down the receiver and lay there staring at the ceiling as pain began to grip, Cherie Blair writes.",Blair Bared '____ Miscarriage to Quell Iraq Rumor,"Subtract(2002,2000)",2
TRAIN_321,"(Oct 14, 2015 12:37 PM CDT) Entrepreneurs, listen up. There's a business opportunity in Brooklyn, and all you have to do is chow down 30 pounds of meat, rice, cheese, and various salsas to take part. Don Chingon, a recently opened Mexican restaurant in Park Slope, is offering a 10% ownership stake in the eatery if you can complete the Gran Chingon Challenge, the Daily Meal reports. You simply have to pay the $150 entry fee and consume the eponymous huge badass burritoâ€”which New York Daily News reporter Gersh Kuntzman describes as looking like a large toddler â€¦ or a small coffin â€”in one hour. If you are going to eat a massive amount of food and gain 25-30 [pounds] in a single sitting, you deserve real compensation, the Chingon team tells Food & Wine. Some restaurants will put your name on the wall. We'll just give you the wall. The clock starts as soon as you touch the burritoâ€”which the owner says contains about 25,000 caloriesâ€”and competitors are disqualified if they take any bathroom breaks or there's discharge [of] bodily fluids of any kind (including running noses or eyes), Food & Wine notes; the eatery also says it isn't responsible if contenders get sick or die. Owner Victor Robey, who tells the Park Slope Stoop that he was inspired by shows like the Travel Channel's Man v. Food, suggests downing the mandatory ghost pepper margarita at the end, noting the pepper is like the cherry on top. If you're in the area and try (and likely fail) this challenge, don't feel too bad: Renowned eating champ Joey Chestnut broke the world burrito-eating record in May, and even he could scarf down just 14 poundsâ€”though he was given only 10 minutes, per KUSA. The challenge starts Monday, per the restaurant's Facebook page. (Read how the Daily News' Kuntzman, who took on the challenge, fared.)","Eat This 30-Pound Burrito, Own ____% of NYC Eatery",Copy(10),10
TRAIN_322,"(Mar 8, 2012 7:13 PM) It's hard to pick what to emphasize: That Joanna Krzysztonek endured labor for 75 days to save her twins or that she did so lying virtually upside down. Reuters explains: Krzysztonek was supposed to have triplets, but she went into labor in her fifth month. After one baby died, doctors in Poland suggested the awkward lying position to keep contractions in check. It worked, for two and a half months, which didn't faze Krzysztonek a bit. I sighed with relief that there was a chance to keep the pregnancy and to give the babies a chance to be born successfully, she told the news service. She finally gave birth to daughter Iga and son Ignacy, who are expected to leave the hospital soon. As for considering it a 75-day labor: This procedureâ€”I mean giving birthâ€”has a beginning and an ending, says one of the doctors. If the first baby was born that means the birth had started.",Woman Has ____-Day Labor to Save Twins,Copy(75),75
TRAIN_323,"(Feb 7, 2009 5:26 AM) Barack Obama met yesterday with people who lost relatives in the Sept. 11, 2001 attacks and the bombing of the USS Cole in an effort to reassure them about his plans for detained al-Qaeda suspects, McClatchy Newspapers reports. The president hugged some of the 40 attendees at the highly emotional meeting and promised the White House door would always be open to them. Obama explained his decision to close the Guantanamo Bay detention center and to drop military commission charges against a suspect in the Cole bombing during a half-hour Q&A session. He vowed that the terror suspects would face justice. Attendees said the meeting was passionate but never angry, leaving the families impressed, although not universally won over by his plans.",Obama Meets With ____ Families,Trans(Sept. 11),11-Sep
TRAIN_324,"(Aug 3, 2015 7:10 PM CDT) A British woman with no serious health issues ended her life July 21 at a suicide clinic because, she said, she didn't want to grow old. Gill Pharaoh, 75, said her work in a nursing home revealed the awful truth of old age and burdens placed on loved ones and caregivers, the Telegraph reports by way of the Sunday Times. I do not want people to remember me as a sort of old lady hobbling up the road with a trolley, she said before going to the Lifecircle clinic in Basel, Switzerland. Pharaoh says she wasn't depressed or incapacitated by illness, though she described a bad bout of shingles after turning 70 and the annoyance of tinnitus in a lengthy blog post about her choice. There, she recounted a life slowly sapped of former joys like long walks and gardening sessions. Not to mention the hundred and one other minor irritations like being unable to stand for long, carry a heavy shopping bag, run for a bus, remember the names of books I have read, or am reading, or their authors. She spent a last evening in Basel with her life partner John that he describes as tranquil and enjoyable. ... Gill had been thinking about it for years and I had no intention of spoiling it by getting emotional and heavy. Her daughter Caron, also a nurse, admits the decision was hard on her, but Pharaoh wrote in her blog post that while many parents expect their children to care for them in their old age, she would not to put that burden on her own kids. I had children for the personal and selfish reason that I wanted them for the pleasure and joy they bring. I want them to enjoy their middle years without having to worry about me. She concedes that people will have different reactions to my choice, but asks that lawmakers listen to, and respect, the views of people like me, and I am not alone in holding this view. Indeed, a study shows that 611 Brits went to Switzerland between 2008 and 2012 to medically end their lives. (A depressed 24-year-old was recently granted the right to die.)",Healthy ____-Year-Old Ends Her Life So She Won't Grow Old,Copy(75),75
TRAIN_325,"(Jan 30, 2009 7:17 AM) Zimbabweâ€™s cholera epidemic has now infected more than 60,000 people, a number the World Health Organization had previously pegged as the worst case scenario, the BBC reports. More than 3,000 have died from the disease since its August outbreak, and with Zimbabweâ€™s water, sanitation, and health systems in tatters, the crisis showed no signs of abating, the WHO said. Political unrest has left Zimbabwe with nearly worthless currency, causing many hospitals to shut down. Towns are plagued by poor water supplies, broken sewers, and uncollected waste, and aid workers fear the upcoming rainy season will make matters even worse. We are dealing with an extraordinary public health crisis that requires from us all an extraordinary emergency response, said one UN doctor.",Zimbabwe Cholera Outbreak Now Infects ____K,"Paraphrase(60,000,K)",60
TRAIN_326,"(Aug 26, 2015 11:46 PM CDT) Joe Biden is very familiar with the pressures of presidential campaigns and he's not sure if he can deal with them just a few months after the death of his son. In a conference call with dozens of Democratic National Committee members, the vice president said he and his family are weighing whether there's the emotional fuel for a 2016 bid, CNN reports. If I were to announce to run, I have to be able to commit to all of you that I would be able to give it my whole heart and my whole soul, and right now, both are pretty well banged up, he said, per CNN. During the call, he sounded like he was a man in the midst of a big decision, a source tells Politico. Will he actually run? A lot of President Obama's fundraisers think so and, uneasy about the Hillary Clinton email debacle, are waiting to see what he decides or are actively trying to draft him, reports the Washington Post, which notes that just 52 of Obama's 770 fundraisers from 2012 have signed up with Clinton. At this point, I don't think Hillary Clinton is electable in a general election, one top 2012 fundraiser for Obama tells the Wall Street Journal. Asked whether Obama would support Clinton or Biden if Biden runs, White House press secretary Josh Earnest said the president hadn't told him, adding that since he chose Biden as VP, Obama clearly believes he has the aptitude for the job of president of the United States.",Biden Not Sure He Has 'Emotional Fuel' for ____,Copy(2016),2016
TRAIN_327,"(Oct 14, 2013 9:19 AM CDT) Banksy yesterday sold some of his works at a Central Park standâ€”pieces worth about $32,000 each. The secretive street artist's selling price, however, was decidedly lower: $60 per work. The collection, which was being sold by an elderly man, looked like it was full of fakes, the BBC notes; in fact, the works were signed by the artist, who posted about it on his website today. Yesterday I set up a stall in the park selling 100% authentic original signed Banksy canvases. For $60 each, the artist noted on the site for his New York residency, called Better Out Than In. The stall took in just $420 all day, and some customers paid even less than $60; in a video, the BBC notes, one negotiates to get 50% off. But don't rush over for a deal: The stall will not be there again today, the artist posted, adding, I know street art can feel increasingly like the marketing wing of an art career, so I wanted to make some art without the price tag attached. There is no gallery show or book or film. It's pointless. Which hopefully means something. Each day this month, Banksy plans to create a piece of elaborate graffiti, large scale street sculpture, video installation, or substandard performance art.",Banksy Sells Art Worth $32K ... for $____ Each,Copy(60),60
TRAIN_328,"(Mar 3, 2009 10:23 PM) There's a new acronym in bailout land: TALF. Officials at the Fed and Treasury Department today outlined the new lending program, which is designed to revive the nation's so-called shadow banking system and generate up to $1 trillion in loans to consumers and small businesses, the Wall Street Journal reports. The Term Asset-Backed Securities Loan Facility is bankrolled in large part by the New York Fed, which is in for $200 billion. Despite the jargon and the arcane nature of the lending, this could be a big deal, the Journal notes. These securitized loans, which operate outside the traditional banking system, accounted for 40% of all consumer lending before the current crisis. Then they virtually dried up. There has been somewhat of a collapse of the banking system, but an almost total collapse of the shadow banking system, said a Princeton economist. Given our reliance on the latter, we need to get that shadow banking system revived.",Feds Aim to Generate $____T in Consumer Loans,Copy(1),1
TRAIN_329,"(Mar 26, 2013 2:20 PM CDT) New York philanthropist Brooke Astor's 88-year-old son has lost an appeal that kept him out of prison after he was convicted of plundering her fortune. The state Supreme Court's Appellate Division ruled today that Anthony Marshall's 2009 conviction was based on legally sufficient evidence. Appeals judges also rejected Marshall's argument that his age and illness warranted sparing him prison. Marshall was sentenced to at least a year in prison, but he was allowed to stay free on bail during the appeal. It's not clear whether Marshall will now have to report to prison or may appeal further and remain free on bail. Lawyer John Cuti says Marshall is exploring his legal options.",Brooke Astor's ____-Year-Old Son May Be Going to Jail,Copy(88),88
TRAIN_330,"(Oct 20, 2009 4:48 PM CDT) U2 will offer a video stream of a live concert for free on YouTube this Sunday. The stream of the sold-out show at the Pasadena Rose Bowl in California will be available in 16 countries, including the US, Brazil, Israel, and Australia. U2 has wanted to do something like this for a long time, manager Paul McGuinness tells the Telegraph. Fans often travel long distances to see U2; this time U2 can go to them, globally.",U____ to Stream Concert on YouTube,Copy(2),2
TRAIN_331,"(Jan 15, 2016 7:08 AM) Twelve people are missing after two US military helicopters collided off the coast of Hawaii's Oahu island, reports ABC News. Coast Guard and Navy search teams have spotted the debris fieldâ€”including an empty life raftâ€”about 2 miles off the coast, reports the network and CNN. The first call of the crash came in at 11:38pm Thursday, and each of the helicopters had six people aboard.",____ Missing After 2 Military Choppers Collide in Hawaii,Trans(Twelve),12
TRAIN_332,"(Sep 9, 2016 3:48 PM CDT) Prosecutors said Friday they will charge seven current and former San Francisco Bay Area officers in a sexual misconduct scandal involving a teenager. The wide-ranging scandal surfaced when a teenage girl who described herself as a prostitute said she had sex with about 30 law enforcement officials in Oakland and elsewhere in the region. Alameda County District Attorney Nancy O'Malley said she was waiting to formally file charges until the teen could be returned to California from Florida, where she has been jailed in an assault case, the AP reports. The prosecutor said she needs the teen to provide testimony in the case. O'Malley said the officers who will be charged are former Contra Costa sheriff's deputy Ricardo Perez; former Livermore police officer Dan Black; Oakland police officers Brian Bunton, Giovani LoVerde, and Warit Utappa; and former Oakland police officers Tyrell Smith and Leroy Johnson. The officers will be charged with a range of felonies and misdemeanors, O'Malley said. The teen, now 19, said she had sex with four officers before she turned 18 and sometimes traded sex for protection from arrest or tips about planned prostitution stings. Oakland Mayor Libby Schaaf previously said disciplinary action has begun against a dozen officers, including dismissal proceedings against four. Seven will serve a range of unpaid suspensions before being allowed to return to duty and another will be required to attend training classes. The Oakland department previously said two officers implicated in the scandal had resigned and another killed himself last year. The department cycled through three chiefs in 10 days in June after the allegations were first reported in the media. Six Richmond police officers and personnel at other law enforcement agencies have also been implicated. A Livermore officer who had been on administrative leave resigned Thursday after seeing the results of his department's investigation.",____ Bay Area Cops to Be Charged in Teen Sex Scandal,Trans(seven),7
TRAIN_333,"(Jun 2, 2011 11:57 AM CDT) Surprise, surprise: Mitt Romney is officially a candidate for president in 2012. He launched his campaign this afternoon with a speech that went after President Obama on the economy, reports the Boston Globe. The big line getting play: When Barack Obama came to office, we wished him well and hoped for the best. Now, in the third year of his four-year term, we have more than promises and slogans to go by. Barack Obama has failed America. He also suggested Obama thought more like a European than an Americanâ€”four separate times. New York's Daily Intel rounds up the lines here. On another front, Romney took another stab at distancing Romneycare from Obamacare by repeating his demand that the federal plan be repealed so states can figure out their own solutions. Democrats aren't wasting any time with a counter-attack: The DNC released a video this morning called Romney: Same Candidate, Different Positions. (See it in the video gallery at left.) Click to read about team Obama's ambitious fundraising goal.","Mitt Romney Launches ____ Campaign, Says President Obama Has 'Failed America'",Copy(2012),2012
TRAIN_334,"(Nov 20, 2014 11:31 AM) An Indian guru was arrested yesterday after a 10-day standoff during which at least six people died. Police say up to 20,000 followers of the guru Rampal Maharaj, who is wanted in connection with a 2006 murder, battled police at his ashram, a 2.5-acre religious complex in Hisar, the BBC and CNN report. Though police say followers used women and children as human shields, five women and an 18-month-old child were sick and died because of lack of medical attention on time, authorities add. Rampal, 63, says he regretted the deaths but argues his supporters, who believe he can cure illness, were acting on their own. Some 200 were injured as police used tear gas, water cannons, and bulldozers to penetrate the complex. Police evacuated 16,000 followers, some of whom say they were coerced into fighting, but say several thousand more may remain. We were separated from our families so that we couldn't leave, one supporter says. Commandos said they would shoot us if we didn't throw stones to protect the guru. Others threw petrol bombs and fired on authorities, Quartz reports. Some 270 people were arrested and charged with rioting, attempt to murder, and waging war against the state. Rampal, a follower of the Indian mystic Kabir, had repeatedly failed to appear in court after he was accused in the death of a man during a 2006 clash at another ashram. His lawyer said he was too ill to travel. He will now remain in custody until Nov. 28.",Cops Battle ____K to Arrest Indian Guru,"Paraphrase(20,000,K)",20
TRAIN_335,"(Jun 21, 2011 1:36 AM CDT) Six states are ablaze in a searing summer that's breaking records for wildfires. More than 1.2 million acres have already burned and some 10,000 people have been forced to flee their homes as flames devour land in Arizona, New Mexico, California, and Colorado, as well as Georgia and Texas. Some 3,500 firefighters have battled Arizona's Wallow fire that has consumed some 500,000 acres, and 700 smoke-eaters are wrestling the Monument fire near Sierra Vista in the state. I feared for my husband, my animals and for the air quality, one fleeing Arizonan told ABC News. Also hardest hit is Texas, suffering its worst drought in history, where some 15,000 acres have burned in temperatures topping 100 degrees. Helicopters are currently dumping water on a California blaze raging in an oil field in San Luis Obispo County. Soaring temperatures and super dry conditions will continue to make this summer one of the most dangerous. One issue not a risk factor for fires? Illegal immigrants. Arizona Sen. John McCain came under heat for blaming Mexican drug cartels and illegal immigrants for starting blazes, but now says he was misinformed by National Forest Service officials.","6 States Ablaze, ____M Acres Lost",Copy(1.2),1.2
TRAIN_336,"(Dec 12, 2013 12:13 PM) An 82-year-old Colombian woman went to the hospital with abdominal pain and got a diagnosis she almost certainly wasn't expecting: There was a 40-year-old fetus inside her. The condition is known as a calcified fetus, lithopaedian, or stone baby, the Telegraph reports. It's very rare and happens when a fetus implants outside the uterus, cannot be re-absorbed because of its size, and ends up calcifying or mummifying as it decays. Doctors thought they were dealing with a simple case of gastroenteritis, but spotted the fetus on an X-ray, the Independent reports. The woman will need to undergo surgery.","Doctors Find ____-Year-Old Fetus in Woman, 82",Copy(40),40
TRAIN_337,"(May 17, 2008 3:34 PM CDT) Iraqi forces have detained over 1,000 suspected militants in a massive push to drive al-Qaeda out of northern Iraq, Reuters reports. The crackdown centers on Mosul, al-Qaedaâ€™s last major urban foothold. This operation will last until we finish off all the terrorist remnants and outlaws, said the Iraqi general leading the charge. Nouri al-Maliki meanwhile returned to Baghdad, after spending several days with the troops. Yesterday, he offered amnesty and an unspecified cash reward to any militants who turned over their guns, provided they hadnâ€™t killed anyone. The defense ministry says scores have turned over weapons, while 1,068 suspected militants have been detained.",Baghdad Collars ____ in al-Qaeda Offensive,"Copy(1,000)","1,000"
TRAIN_338,"(Dec 4, 2015 5:16 PM) Robert Loggia, who played drug lords and mobsters and danced with Tom Hanks in Big, has died, his wife Aubrey Loggia says. Aubrey Loggia said Loggia died Friday at his home in Los Angeles after a five-year battle with Alzheimer's. He was 85. Loggia's rugged looks and voice suited his many character roles as gangsters or other shady characters. He was a Miami drug lord in Scarface and a Sicilian mobster in Prizzi's Honor. He earned an Oscar nomination for the 1985 legal thriller Jagged Edge. But perhaps his most memorable role was a comic turn as the toy company boss in Big. In a famous scene, he and Hanks, as a boy in a man's body, dance on a giant toy keyboard in joyful duets of Chopsticks and Heart and Soul.",Tough-Guy Actor Robert Loggia Dies at ____,Copy(85),85
TRAIN_339,"(Jun 6, 2010 6:01 AM CDT) Two New Jersey men who allegedly intended to kill American troops were arrested yesterday at John F. Kennedy International Airport before boarding flights to join a jihadist group in Somalia, the Newark Star-Ledger reported. Mohamed Hamoud Alessa, 20, and Carlos Eduardo Almonte, 26, were charged with conspiring to commit an act of international terrorism through al-Shabaab, a violent extremist group based in Somalia and connected to al-Qaeda. Teams of state and federal law-enforcement agents who have been investigating Alessa and Almonte since 2006 took them into custody. They are scheduled to appear tomorrow in federal court in Newark. Authorities said an undercover NYPD officer had infiltrated the suspects' group of friends and was able to monitor their consumption of jihadist videos and literature, overseas travel preparations, and purchase of airline tickets. Officials said the two men were not planning an imminent attack in the New York area. Both are American citizens.",____ Busted at JFK on Terror Charges,Trans(two),2
TRAIN_340,"(Jan 19, 2010 5:25 PM) The '85 Bears have redone their famous Super Bowl Shuffle for a cell phone commercial to appear during this year's Super Bowl. Former quarterback Jim McMahon and the rest of the teamâ€”even Mike Ditka this timeâ€”filmed the spot for Sprint. I told them there'd be no dancing after 12 knee surgeriesâ€”I'm not doing that, McMahon told the Chicago Tribune. I can barely get out of the chair. We're all old as hell now, man.",____ Bears Redo 'Shuffle' for Super Bowl Ad,Copy(85),85
TRAIN_341,"(Feb 16, 2010 2:15 PM) In a bid to break its reputation as the party of no, Republicans will present a 10-point plan of action for 2010. John McCain told an Arizona radio station that the GOP is preparing the pledges to be enacted if the party takes back both houses of Congress. The pledges, reminiscent of the GOP's Contract With America in 1994, would likely include a balanced budget amendment and cuts in federal spending, the Hill reports. We Republicans have to provideâ€”and we will later this springâ€”a positive vision with what we want to do for the country, McCain said. I believe that we can regain control of both houses of Congress. I really believe that this can be a seminal election.",____ to Bring 10 GOP Promises,Copy(2010),2010
TRAIN_342,"(Oct 2, 2009 9:56 AM CDT) First, the good news for Quentin Tarantino fans: The Bride will fight again, he says, confirming his plan to make the third movie in his Kill Bill franchise. The bad news? Not until 2014, notes the New York Post. I love the character and I think she deserved 10 years of peace. She deserved 10 years with her child, Bibi, he tells Italian talk show Parla Con Me. But after 10 years something will happen that makes her fight again.",Tarantino Confirms Kill Bill ____,Trans(third),3
TRAIN_343,"(Aug 6, 2012 11:30 AM CDT) Even lawyers can be taken in by email scamsâ€”and one US Postal Inspector estimates law firms have lost at least $70 million to such scams since 2009, the Wall Street Journal reports. Scammers email lawyersâ€”known for their eagerness to gain new clients, often via the Internetâ€”with a convincing tale of woe. The con artist says he needs the law firm's help collecting money from a legal settlement or debtor, then sends a sophisticated counterfeit cashier's check to the firm. All the lawyers have to do, the scammer explains, is take out their fee and return the balance of the check to an overseas account. Onlyâ€”as anyone familiar with email scams will probably have guessedâ€”the check is actually no good. But many law firms have fallen for the trick and wired the money before realizing that. Con artists make the elaborate stories very believable, with authentic-looking insurance paperwork and contact information that leads back to other scammers, who vouch for the documents' legitimacy. In hindsight it sounds like you're stupid if you got trapped, but while you're in it, it's very sophisticated, says one personal-injury attorney who was targeted by a ring that allegedly drained $32 million from law firms. Federal prosecutors are putting that scammer on trial in the fall.",Lawyers Have Lost $____M to ... Email Scammers,Copy(70),70
TRAIN_344,"(Jun 3, 2015 12:11 PM CDT) Some 10.2 million people have paid for health insurance coverage under ObamaCare this year, but 6.4 million of those could lose their subsidies if the Supreme Court sides with the plaintiffs in King v. Burwell. A rep for the Kaiser Family Foundation tells the Washington Post the new government figures offer the best assessment yet of how many Americans will be affected by such a decision. These are the people we now know are receiving subsidies that would be lost if the court sides with the challengers, he says. The plaintiffs argue residents of 34 states who bought coverage on the federal exchange aren't entitled to tax credits due to four words at the heart of the Affordable Care Act. Most who would be affected come from two large area groups: one covering Florida, Georgia, Louisiana, North Carolina, and Texas, the other covering Illinois, Indiana, Ohio, and Wisconsin. At an average of $272 a month, the subsidies total $1.7 billion per month. Some 2.1 million people would lose $595 million in subsidies per month in Texas and Florida alone. If forced to pay the cost of coverage in full, subsidized enrollees would face an average effective premium increase of 287%. Those in Alaska and Utah would face a 500% increase; Mississippi enrollees would see a 650% hike, researchers say. The Urban Institute estimates two-thirds of those receiving subsidies would give up their coverage without help, Politico reports. Those most at risk are white, employed, live in the South, and have modest incomes. If the Supreme Court revokes coverage, Wisconsin Gov. Scott Walker and Florida Gov. Rick Scott both say the federal government will need to come up with a solution. Pennsylvania is the only state to put forth a backup plan, reports the Hill. Gov. Tom Wolf says he will create a state-based exchange to save subsidies for 350,000 residents because it's the responsible thing to do.",Fate of ____M Rests on ObamaCare Case,Copy(6.4),6.4
TRAIN_345,"(Jan 18, 2013 2:19 PM) A Queens woman has been charged with criminal possession of a weapon, endangering the welfare of a child, and more, after leaving a .22-caliber pistol and a flare gun in her 7-year-old son's backpackâ€”something the 7-year-old discovered only after arriving at school. Deborah Farley, 53, says she put the guns in the boy's Batman backpack before going out with it this week, and forgot to take them out before sending him to school, police tell the New York Times. When she realized what she'd done, she rushed to the school to try to retrieve the weapon. By then her son had already found the flare gun and given it to a classmate. When his mother asked him to hand over the gun, he said he'd given it awayâ€”not realizing the .22 was in his bag, too. Farley alerted the principal, who locked down the school and alerted authorities. Now the boy and his 9-year-old brother have been taken into protective custody. Their father, Walter Orozco, 56, says things could have ended more tragically, because his son is often bullied.",Cops: Mom Put Gun in ____-Year-Old's Backpack,Copy(7),7
TRAIN_346,"(Sep 8, 2016 5:00 PM CDT) An exciting art world jigsaw puzzle is nearly complete after the third piece of a painting by Belgian artist RenÃ© Magritte missing for more than 80 years was recently discovered hiding at the Norwich Castle Museum and Art Gallery in Britain, the Guardian reports. Magritte's The Enchanted Pose was part of a 1927 exhibition, but no one purchased it, and it was returned to Magritte. Since 1932, its whereabouts have been unknown, leaving behind only a single black-and-white photograph as evidence. In 2013, two pieces of The Enchanted Poseâ€”which shows two nude women standing next to each otherâ€”were discovered hidden beneath other Magritte paintings in the US and Sweden. The discovery of the third piece, the lower right corner, was announced Thursday. The new piece of The Enchanted Pose was discovered by art conservator Alice Tavares da Silva, who was inspecting a Magritte painting called The Human Condition before it was loaned out to another museum. She discovered paint on the side of the canvas under the frame that didn't match the painting itself. Artnet News reports it's rare for a Magritte work to have paint on the edges. An X-ray of The Human Condition revealed it was painted over a piece of The Enchanted Pose. Tavares da Silva calls it a hugely exciting discovery. According to the Norfolk Eastern Daily Press, it now appears Magritte cut The Enchanted Pose into four equal pieces for unknown reasons, then painted over them. But there's still one piece of the puzzle missing. (A Degas painting panned as discolored hid secret image.)",Art World Has Nearly Solved ____-Year-Old Jigsaw Puzzle,Copy(80),80
TRAIN_347,"(Apr 30, 2012 4:05 PM CDT) Somebody killed my mother. Please help me, said Jennifer Hudson's sister, Julia, in a chilling phone call to emergency services. My momma. My momma. Jurors in the triple-murder trial of Hudson's mother, sister, and nephew have already heard the 911 recording, but today the judge made it public. Judge Charles Burns said the rights of the accused, William Balfour, would not be harmed by releasing the tape. You can hear it at the Chicago Sun-Times. On Friday, Balfour's former mistress testified that he had admitted to two of the murders and told her to lie on his behalf, the Chicago Sun-Times reports. He say he went in and the brother rushed him, and he shot him, and the mother was coming down the stairs, calling his name, and he shot her, said Shonta Cathey. Jennifer Hudson crumpled forward at one point in the courtroom, sniffling behind a tissue. When she shot a look at Balfour's mother, she snapped, What the hell is she looking at?",Judge Releases Frantic ____ Call in Hudson Murder Trial,Copy(911),911
TRAIN_348,"(Dec 2, 2009 3:15 PM) Stocks were mixed today after UBS analysts issued bearish comments on leading financial firms and ADP announced that private-sector employment fell by 169,000 jobs in November, higher than forecast, the Wall Street Journal reports.",Dow Falls ____ on Jobs Data,"Round(223.32,0)",19
TRAIN_349,"(Jan 12, 2014 10:11 AM) It's most commonly known as the Benjamin Button disease, and as ABC News reports, Sam Berns was the teen most widely known for fighting the genetic condition progeria. He lost that battle on Friday, dying at the age of 17â€”well past the 13 years that children with the disease are expected to live, and the day before he was to serve as honorary captain at a New England Patriots game. The Massachusetts teen became the face of the rare condition, which causes super-speed aging and is thought to currently afflict just 250 children around the globe, after appearing in HBO's Life According to Sam; he also gave a TED Talk last month in which he shared his philosophy for a happy life. NPR's Eyder Peralta writes that the 2013 documentary revealed a funny, sober boy. It followed him and his parents for a period of three years; his parents, both doctors, formed the Progeria Research Foundation in 1999 following his diagnosis at 22 months. In September, NPR reported on the first drug, lonafarnib, that had been found to help treat children with progeria; it bolstered their heart and bone health and allowed them to gain some weight. Those with the disease can weigh as little as one-third their normal weight, and in his TED Talk, Sam revealed he weighed just 50 pounds. That created an issue for him: His dream before high school was to play snare drum in the marching band, and regular snare drums and harnesses weigh 45 pounds. But nothing was going to stop me. So he worked with an engineer to design a version that weighed just six pounds. Said Sam, I have a very happy life. (Click to read the story of a woman with a sort of opposite disease: Syndrome X.)",Boy Who Fought 'Aging Disease' Dead at ____,Copy(17),17
TRAIN_350,"(Feb 9, 2016 8:00 AM) Red Lobster is reaping the benefits of what Fortune is calling the mother of all branding gifts. The seafood restaurant has seen a surprise jump in salesâ€”a 33% increase Sunday from the previous yearâ€”and it looks like it has Beyonce's new single to thank, CNNMoney reports. In Formation, which takes on serious topics such as Hurricane Katrina and police brutality, there's also a line in which she brags about taking her lover to Red Lobster as a reward for good sex. (Actual NSFW lyrics here.) That line helped nab Red Lobster 42,000 mentions on Twitter in one hour and placed it on the top trends list for the first time ever, a Red Lobster rep says. It also saw a boost in Google searches, the company tells CNBC. We are absolutely delighted with what we saw over the weekend, particularly the consumer sentiment that we saw expressed, company CEO Kim Lopdrup says. It's clear that Beyonce has helped create some Red Lobster fans, and we are very grateful to her for that. Grateful and excited, apparently, since whoever runs Red Lobster's Twitter account took advantage of the situation a few hours after it started seeing its name all over social media. 'Cheddar Bey Biscuits' has a nice ring to it, don't you think? the company finally tweeted. Its response to the groans it received for its delayed pun-diting: You try to bake Cheddar Bay Biscuits and tweet at the same time! #harderthanitlooks #Formation. (Beyonce has pretty much ruled everything over the past few days.)",Beyonce Shoutout Spikes Red Lobster Sales by ____%,Copy(33),33
TRAIN_351,"(Oct 8, 2014 8:29 AM CDT) The goal was just, the execution anything but: In the 1940s, the US government pulled together an operation designed to find a cure for malaria, which infected some 500,000 American troops during WWII. How they went about doing so is revealed in Karen Masterson's new book, The Malaria Project, which reports on the operation of the same name. Making use of National Archives records, Masterson documents how US troops and mental patients were used as pawns in the effort. Because malaria can't be grown in cultures, live subjects were needed: Strains were extracted from troops who had been exposed to malaria while abroad and then injected into thousands of mental patients and prisoners. But many troops also became unknowing test subjects, with devastating results: Some of the guys were ruined, sent home because they had so many malaria relapses, says Masterson. Their bodies were wrecked. As Time reports, doctors set out to test the top 100 potential drugs out of 14,000 compounds that had been made. Some troops were dosed with Mary (sulfamerazine), others with Atabrine. At best, the treatments were useless; at their worst, they left troops wrecked by organ damage. Masterson estimates 10% of infected mental patients died (she didn't record any troop deaths). What ultimately worked was what Masterson calls a magic formula stolen from the Nazis: Chloroquine went on to save more lives than any other drug in history, she tells NBC News, though malaria-causing parasites eventually developed resistance to it. While the existence of the project was previously known, the book's fresh details will renew debate over the ethics of using unsuspecting people as test subjects, observes NBC. (During this same period, Nazis may have tried to weaponize mosquitoes.)",US Malaria Experiments in ____s Left Troops 'Ruined',Copy(1940),1940
TRAIN_352,"(Jan 16, 2011 4:01 PM) The teenager at the heart of the latest criminal probe of Silvio Berlusconi insists she didn't have sex with himâ€”but says he gave her $9,350 when she attended a Valentine's Day party at his villa. Karima el-Mahroug, better known as Ruby Heartstealer, said yesterday that Berlusconi didn't know she was a minor because I told everyone I was 24, not 17. As for why he gave her the cash? Because I had just arrived in Milan and he knew of my difficult family situation and wanted to help, reports the AP. Prosecutors are investigating whether Berlusconi paid the underage girl for sex and then abused his power in trying to cover up the encounter. Click for more.",Teen: Berlusconi Gave Me $____K,"Round(Paraphrase(9,350,K),0)",9
